activationTime,firstBillNumber,lastBillNumber,taxableBase,totalWithDiscount,discountsTotal,total,tip,tax 10%,tax 21%,card,cash,delitbee,gloriafood,glovo,justeat,shop,uber
11/05/2024,LS8508,LS8537,"760,89","998,37","161,09","837,28","0,00","75,78","0,61","346,50","91,60",,"88,81","66,78",,"151,10","92,49"
12/05/2024,LS8538,LS8564,"978,60","1.243,78","167,02","1.076,76","0,00","97,55","0,61","783,28","25,60",,"75,20","71,68",,"29,60","91,40"
15/05/2024,LS8565,LS8582,"341,04","553,79","178,38","375,41","0,00","33,88","0,49","118,02","125,20",,"17,00","59,59",,,"55,60"
16/05/2024,LS8583,LS8596,"246,25","368,09","97,20","270,89","0,00","24,64",,"64,00","20,00",,"79,20","63,59",,,"44,10"
17/05/2024,LS8597,LS8616,"389,32","631,98","203,76","428,22","0,00","38,90",,"18,90","56,35",,"59,79","156,08",,"33,80","103,30"
18/05/2024,LS8617,LS8642,"558,73","769,17","154,60","614,57","0,00","55,84",,"195,80","1,50",,"74,40","130,17",,"25,80","186,90"
19/05/2024,LI40,LS8666,"659,55","852,08","126,60","725,48","0,00","65,93",,"322,70","64,30",,"52,30","98,48",,,"187,70"
22/05/2024,LS8667,LS8680,"262,73","377,18","88,20","288,98","0,00","26,25",,"39,60","20,00",,,"106,98",,"55,20","67,20"
23/05/2024,LS8681,LS8692,"229,55","334,97","82,20","252,77","0,00","22,70","0,52","37,90",,,"28,50","87,77",,,"98,60"
24/05/2024,LS8693,LS8718,"661,99","861,09","132,93","728,16","0,00","66,17",,"304,41","138,16",,"54,40","49,89",,"35,80","145,50"
25/05/2024,LS8719,LS8743,"591,09","741,98","91,80","650,18","0,00","59,09",,"403,50","31,90",,,"106,48",,,"108,30"
26/05/2024,LS8744,LS8770,"590,75","915,00","265,20","649,80","0,00","59,05",,"131,21","18,20",,"105,89","77,40",,"117,60","199,50"
29/05/2024,LI41,LS8781,"181,62","283,20","83,18","200,02","0,00","17,91","0,49","27,82","63,80",,,"52,60",,,"55,80"
30/05/2024,LI42,LS8798,"354,17","549,90","160,30","389,60","0,00","35,43",,"133,40","36,00",,"49,70","55,40",,"30,30","84,80"
31/05/2024,LS8799,LS8833,"806,88","1.105,59","217,55","888,04","0,00","80,15","1,01","440,60",,,"79,85","106,79",,"89,50","171,30"
01/06/2024,LS8834,LS8860,"712,91","971,79","187,59","784,20","3,11","71,29",,"185,21","137,10",,"132,50","62,09",,"96,81","173,60"
02/06/2024,LS8861,LS8895,"987,35","1.310,66","223,80","1.086,86","0,00","97,98","1,53","315,00","199,30",,"204,70","127,26",,"59,20","181,40"
05/06/2024,LS8896,LS8907,"188,18","277,99","71,00","206,99","0,00","18,81",,"79,40","23,80",,,"73,99",,,"29,80"
06/06/2024,LS8908,LS8919,"285,37","416,00","102,10","313,90","0,00","28,53",,"148,40","37,70",,"22,50","55,60",,,"49,70"
07/06/2024,LI43,LS8948,"745,48","950,89","130,40","820,49","0,60","74,04","0,97","483,70","95,00",,"38,80","66,59",,"42,00","95,00"
08/06/2024,LS8949,LS8970,"469,28","666,39","149,88","516,51","0,00","46,62","0,61","190,82","18,40",,"64,30","44,79",,"29,60","168,60"
09/06/2024,LS8971,LS8989,"315,23","424,18","77,00","347,18","0,00","31,08","0,87","51,30","78,60",,"47,90","95,99",,"19,40","53,99"
12/06/2024,LS8990,LS9005,"354,35","514,50","124,40","390,10","1,39","35,14","0,61","109,00","67,40",,"24,10","25,80","30,50","31,69","103,00"
13/06/2024,LI44,LS9019,"400,91","556,20","115,20","441,00","0,00","40,09",,"116,10","129,00",,,"84,40","32,00","39,00","40,50"
14/06/2024,LI45,LS9044,"755,94","1.085,60","254,07","831,53","0,00","75,59",,"211,40","260,28",,"125,45","60,40","32,50",,"141,50"
15/06/2024,LS9045,LS9074,"931,19","1.219,40","194,60","1.024,80","0,00","92,64","0,97","393,60","164,60",,"71,90","80,50","125,70",,"188,50"
